Sequence,Group,N frames,Gate RMSD mean (A),Gate RMSD SD (A),Gate RMSD early100 mean (A),Gate RMSD late100 mean (A),Gate drift100 (A),Gate slope (A/ns),Latch RMSD mean (A),Latch RMSD SD (A),Latch RMSD early100 mean (A),Latch RMSD late100 mean (A),Latch drift100 (A),Latch slope (A/ns),Lb7a5 RMSD mean (A),Lb7a5 RMSD SD (A),Lb7a5 RMSD early100 mean (A),Lb7a5 RMSD late100 mean (A),Lb7a5 drift100 (A),Lb7a5 slope (A/ns),Recoil RMSD mean (A),Recoil RMSD SD (A),Recoil RMSD early100 mean (A),Recoil RMSD late100 mean (A),Recoil drift100 (A),Recoil slope (A/ns),Whole RMSD mean (A),Whole RMSD SD (A),Whole RMSD early100 mean (A),Whole RMSD late100 mean (A),Whole drift100 (A),Whole slope (A/ns)
nonb_022_nb,False Positive,5600,1.7984,1.3465,1.4154,2.2535,0.8381,0.010174,1.3337,0.6704,1.0035,1.6841,0.6806,0.007216,2.754,0.9506,3.2078,2.2694,-0.9384,-0.009818,1.7855,0.472,1.9238,1.6114,-0.3124,-0.003213,1.94,0.4155,1.6176,2.2371,0.6195,0.005763
nonb_023_nb,False Positive,5600,2.7062,0.6826,2.472,2.8971,0.4251,0.003994,3.1865,0.8087,2.6918,3.6296,0.9377,0.009398,2.8314,1.0484,2.6289,3.0887,0.4598,0.004578,1.488,0.3733,1.6852,1.301,-0.3843,-0.003399,1.7141,0.1744,1.7144,1.708,-0.0064,0.000204
nonb_024_nb,False Positive,5600,1.1864,0.3529,1.2895,1.0888,-0.2007,-0.001731,3.039,0.8809,2.6186,3.5444,0.9258,0.007206,3.1333,1.2371,2.3007,4.0585,1.7578,0.00982,1.3929,0.4282,1.1019,1.7129,0.611,0.004366,1.6633,0.2906,1.4742,1.8805,0.4063,0.002585
nonb_025_nb,False Positive,5600,7.1553,0.9503,6.424,7.828,1.4039,0.011745,3.5792,0.5128,3.2764,3.8419,0.5655,0.005182,3.6482,0.6839,3.2234,4.0218,0.7985,0.005854,2.8889,0.5614,2.4709,3.2599,0.789,0.006095,3.0145,0.3007,2.8641,3.1347,0.2707,0.002914
nonb_026_nb,False Positive,5600,2.1446,0.6344,2.3689,1.9717,-0.3972,-0.003434,2.6508,0.5749,2.8011,2.5191,-0.282,-0.003395,3.5152,0.9783,3.5216,3.4646,-0.057,-0.003737,1.7453,0.3557,1.6638,1.8272,0.1634,0.002312,2.284,0.306,2.0388,2.506,0.4671,0.003864
nonb_029_nb,False Positive,5600,1.9216,0.5209,2.0722,1.7588,-0.3135,-0.003209,3.1749,0.4736,3.2064,3.1396,-0.0668,0.000543,2.3621,0.8734,2.1683,2.5591,0.3908,0.001453,1.7663,0.4014,1.7042,1.8676,0.1633,0.000661,1.7629,0.158,1.7367,1.8023,0.0656,0.00058
nonb_032_nb,False Positive,5600,3.3676,0.6159,3.2193,3.5255,0.3063,0.001922,2.5772,0.9921,1.6788,3.4974,1.8185,0.01377,1.9574,0.7661,1.5774,2.3382,0.7608,0.006152,1.9637,0.4281,1.8104,2.1159,0.3055,0.00206,1.9958,0.2445,1.8256,2.1684,0.3427,0.00296
nonb_046_nb,False Positive,5600,1.8171,0.4744,1.61,2.0128,0.4028,0.004149,1.3812,0.292,1.3203,1.4357,0.1155,0.001139,2.1375,0.7936,2.2071,2.0521,-0.155,-0.001003,1.5394,0.2517,1.5585,1.5073,-0.0512,-0.00052,1.6297,0.2778,1.4859,1.7824,0.2966,0.003364
nonb_047_nb,False Positive,5600,2.5639,1.0059,1.6852,3.44,1.7548,0.013021,1.2263,0.2773,1.2181,1.2307,0.0126,0.000377,2.3107,0.8179,2.6063,2.0305,-0.5758,-0.00336,1.6976,0.444,1.714,1.6384,-0.0756,0.000439,1.617,0.2162,1.7373,1.5034,-0.234,-0.00167
nonb_048_nb,False Positive,5600,2.6489,0.9514,2.2097,3.051,0.8413,0.009091,3.0371,0.7252,2.8236,3.2094,0.3857,0.004462,3.3427,0.9856,2.9192,3.7007,0.7815,0.005347,1.8599,0.329,1.6595,2.0567,0.3971,0.00327,2.0645,0.192,2.0273,2.0875,0.0602,0.000901
nonb_049_nb,False Positive,5600,1.893,0.597,1.5489,2.2377,0.6889,0.005932,1.8487,0.3463,1.7148,1.9936,0.2788,0.002012,2.5492,0.6543,2.51,2.605,0.095,0.000867,1.717,0.4139,1.5383,1.8952,0.3569,0.002858,1.7292,0.1532,1.7263,1.7365,0.0103,-0.00015
nonb_050_nb,False Positive,5600,4.602,0.6414,4.3185,4.8467,0.5283,0.003344,2.2575,0.4911,1.8977,2.6045,0.7068,0.006228,2.5667,0.5956,2.2691,2.8422,0.5731,0.00398,1.6559,0.3891,1.5239,1.7923,0.2684,0.001925,2.1702,0.223,2.02,2.2987,0.2787,0.001995
nonb_051_nb,False Positive,5600,1.518,0.4858,1.3519,1.6621,0.3102,0.002613,2.1969,0.3895,2.106,2.2643,0.1583,0.001292,2.4272,0.5926,2.2129,2.6159,0.4031,0.00367,1.8733,0.3695,1.7001,2.0339,0.3338,0.002828,1.4682,0.1494,1.4216,1.5203,0.0988,0.001023
nonb_052_nb,False Positive,5600,1.3266,0.506,1.6298,1.0442,-0.5855,-0.003437,2.3009,0.5025,2.0798,2.5617,0.482,0.0025,2.883,0.8325,2.8768,2.8756,-0.0012,0.002182,1.4996,0.335,1.4969,1.4752,-0.0217,0.000205,1.9357,0.2203,1.8123,2.0435,0.2312,0.002028
nonb_053_nb,False Positive,5600,1.42,0.3862,1.4248,1.4009,-0.024,-8e-06,2.9346,1.0546,3.1955,2.5745,-0.6209,-0.004333,3.5199,1.5535,2.5419,4.3862,1.8443,0.011923,1.5225,0.4561,1.2428,1.8152,0.5724,0.004089,1.7513,0.2599,1.6865,1.7981,0.1116,0.000524
nonb_054_nb,False Positive,5600,2.9469,0.5381,3.3137,2.6022,-0.7115,-0.005912,3.1667,0.5191,3.362,2.9718,-0.3902,-0.001738,3.8157,1.1635,3.1343,4.5389,1.4046,0.014249,2.1172,0.3068,2.103,2.1373,0.0343,0.000181,2.2823,0.1856,2.2005,2.3636,0.163,0.001709
nonb_056_nb,False Positive,5600,2.966,1.2076,3.3418,2.7272,-0.6147,-0.008099,4.8345,0.8541,4.8826,4.8385,-0.0441,-0.00311,3.2469,0.8622,2.9474,3.5734,0.626,0.005408,1.6625,0.3235,1.4584,1.8572,0.3987,0.003785,1.8212,0.1963,1.8339,1.8259,-0.008,-0.000642
nonb_066_nb,False Positive,5600,2.385,0.4541,2.3457,2.4421,0.0963,0.001247,2.3995,0.4921,2.6213,2.2058,-0.4156,-0.003652,2.2022,0.8409,2.1168,2.2982,0.1814,0.00163,1.3736,0.323,1.3365,1.3987,0.0622,0.000483,1.8001,0.2107,1.6474,1.9544,0.307,0.002286
nonb_067_nb,False Positive,5600,1.9409,0.5775,1.6714,2.1808,0.5094,0.004211,3.0797,0.5427,2.9006,3.2461,0.3455,0.00371,2.2427,0.6638,2.2885,2.2065,-0.082,-0.002363,1.5381,0.3852,1.4326,1.6352,0.2026,0.00124,1.5627,0.1551,1.5267,1.6019,0.0752,0.000634
nonb_068_nb,False Positive,5600,1.8197,0.65,2.0271,1.6481,-0.379,-0.002132,2.5177,1.0161,1.6978,3.3328,1.635,0.014609,4.2135,0.7652,4.0046,4.3544,0.3498,0.003925,2.5666,0.5507,2.3386,2.7369,0.3983,0.003151,1.9099,0.2111,1.8578,1.9552,0.0973,0.001374
nonb_071_nb,False Positive,5600,1.5051,0.4485,1.4083,1.5421,0.1338,0.001116,3.1669,0.7569,2.7583,3.5637,0.8054,0.008108,3.9777,1.0615,3.4396,4.5173,1.0777,0.010849,2.6976,0.8256,2.2289,3.1608,0.932,0.009521,1.7613,0.2011,1.7381,1.7676,0.0296,0.000898
nonb_072_nb,False Positive,5600,2.9361,0.3647,2.9502,2.9229,-0.0273,0.000174,3.5218,0.4897,3.6248,3.4017,-0.2231,-0.002587,2.8178,0.5545,2.7151,2.9296,0.2145,0.000458,1.3493,0.3152,1.3281,1.3664,0.0383,0.000181,1.5776,0.1439,1.6111,1.54,-0.0711,-0.000908
nonb_073_nb,False Positive,5600,3.4651,0.5114,3.4673,3.4922,0.0249,0.000898,1.8868,0.7066,1.5234,2.2993,0.776,0.007305,2.4361,0.9069,2.3296,2.5107,0.1811,0.004326,1.357,0.3504,1.1625,1.5657,0.4032,0.003811,1.8074,0.3199,1.5893,2.0281,0.4388,0.004152
nonb_074_nb,False Positive,5600,3.3514,0.4936,3.1925,3.4903,0.2978,0.002335,1.8756,0.3218,1.9693,1.7832,-0.1861,-0.001355,3.1748,0.9122,2.9644,3.4292,0.4648,0.004047,1.6924,0.4606,1.9411,1.4096,-0.5316,-0.003846,2.2663,0.1963,2.2989,2.2229,-0.076,-0.00055
nonb_075_nb,False Positive,5600,2.4661,0.6984,2.7153,2.1844,-0.531,-0.003777,2.0159,0.7317,1.729,2.318,0.589,0.005543,2.1758,0.7494,1.9095,2.4511,0.5416,0.005523,1.7164,0.3537,1.6497,1.7991,0.1493,0.001828,1.4501,0.1377,1.4268,1.4766,0.0498,0.000667
nonb_080_nb,False Positive,5600,3.6063,0.8928,3.2181,3.9287,0.7106,0.006469,1.9238,0.4153,1.7397,2.0897,0.35,0.003218,2.4482,0.8037,2.2533,2.5927,0.3394,0.002962,2.2766,0.547,2.252,2.2433,-0.0087,0.000314,2.0685,0.2254,1.9627,2.1597,0.197,0.001958
nonb_081_nb,False Positive,5600,2.2727,0.4258,2.1938,2.3581,0.1644,0.001411,1.6785,0.3093,1.7133,1.6515,-0.0618,-0.000108,1.7798,0.6511,1.7747,1.8164,0.0418,0.000558,1.3916,0.34,1.5054,1.2756,-0.2297,-0.00226,1.5862,0.1725,1.5719,1.6046,0.0327,0.000529
nonb_082_nb,False Positive,5600,2.3982,0.5031,2.3283,2.4841,0.1558,0.00039,1.4383,0.3585,1.5612,1.335,-0.2262,-0.00207,2.7202,0.7947,2.7273,2.7199,-0.0074,-0.00029,2.2383,0.2881,2.2946,2.172,-0.1226,-0.00095,1.8931,0.2461,1.9918,1.7967,-0.1951,-0.000733
nonb_085_nb,False Positive,5600,1.4136,0.4447,1.4444,1.3896,-0.0548,-0.000613,2.8172,0.9797,3.2248,2.4812,-0.7436,-0.007652,4.419,0.9245,4.2982,4.5937,0.2955,0.00104,1.6244,0.2536,1.6609,1.5932,-0.0677,-0.000931,2.5178,0.299,2.4322,2.628,0.1958,0.001485
nonb_086_nb,False Positive,5600,2.3805,0.6148,2.0665,2.6566,0.5901,0.005161,1.9303,0.5115,1.6769,2.1705,0.4936,0.005103,2.1703,0.6365,2.0805,2.2541,0.1736,0.001138,1.2286,0.3331,1.3345,1.1507,-0.1839,-0.002013,1.583,0.3024,1.3268,1.845,0.5182,0.003977
nonb_087_nb,False Positive,5600,2.3364,0.5023,2.0639,2.579,0.5151,0.004061,2.8457,0.8522,2.2077,3.435,1.2273,0.011253,4.0528,1.0386,3.6573,4.4583,0.801,0.009924,1.1684,0.3092,1.1295,1.185,0.0555,0.000435,1.9547,0.3676,1.6972,2.1862,0.489,0.004606
nonb_088_nb,False Positive,5600,3.8931,0.5585,3.9431,3.834,-0.1091,-0.001172,2.0918,0.3916,1.9627,2.2414,0.2787,0.001992,2.4276,0.5812,2.0849,2.7579,0.6729,0.00475,1.8667,0.3812,1.6759,2.0484,0.3725,0.002539,1.7931,0.1745,1.6933,1.8943,0.201,0.0016
nonb_089_nb,False Positive,5600,3.9765,0.5675,3.9561,3.985,0.0289,0.001534,2.009,0.5213,1.8646,2.1994,0.3348,0.003672,2.5928,0.8241,2.605,2.6068,0.0018,-3.1e-05,1.7645,0.3976,1.5911,1.9594,0.3682,0.003645,1.7042,0.1355,1.6826,1.7221,0.0394,0.000615
nonb_115_nb,False Positive,5600,2.3666,0.5803,2.6413,2.1014,-0.5399,-0.00278,3.1916,0.7005,3.5971,2.8051,-0.7919,-0.006968,3.7996,1.1103,3.3603,4.3371,0.9768,0.009726,1.6576,0.3915,1.4567,1.8753,0.4186,0.003153,1.8854,0.2163,1.7554,2.029,0.2735,0.002149
nonb_116_nb,False Positive,5600,2.4336,0.5965,2.3623,2.5341,0.1718,0.000143,3.014,1.3791,1.977,4.1607,2.1836,0.019505,3.4575,1.3275,2.6704,4.2724,1.602,0.013478,3.7106,1.1034,2.8027,4.7006,1.8979,0.013819,2.1016,0.381,1.7785,2.4476,0.6691,0.005366
nonb_117_nb,False Positive,5600,1.8213,0.5448,1.8637,1.8078,-0.0559,-0.000166,2.1756,0.7018,1.8582,2.489,0.6308,0.006398,2.8916,1.039,2.3075,3.4761,1.1686,0.011454,1.8879,0.4592,1.6617,2.1214,0.4597,0.004171,1.9238,0.1802,1.8412,2.017,0.1758,0.001465
